GSMID,UID,Name,GSEID,GEO Sample Description
GSM101095,D000000,Control,GSE11906|GSE20257,"small airways, non-smoker 001, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|Age: 41|Sex: M|Ethnic group: black|Smoking Status: non-smoker"
GSM101096,D000000,Control,GSE11906|GSE20257,"small airways, non-smoker 004, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 35|sex: M|ethnic group: black|smoking status: non-smoker"
GSM101097,D000000,Control,GSE11906|GSE20257,"small airways, non-smoker 002, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 61|sex: M|ethnic group: white|smoking status: non-smoker"
GSM101098,D000000,Control,GSE11906|GSE20257,"small airways, non-smoker 003, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 37|sex: F|ethnic group: black|smoking status: non-smoker"
GSM101100,D000000,Control,GSE11906|GSE20257,"small airways, non-smoker 006, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 47|sex: M|ethnic group: black|smoking status: non-smoker"
GSM101101,D000000,Control,GSE11906|GSE20257,"small airways, non-smoker 021, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 38|sex: M|ethnic group: hispanic|smoking status: non-smoker"
GSM101102,D000000,Control,GSE11906|GSE20257,"small airways, non-smoker 019, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 49|sex: F|ethnic group: white|smoking status: non-smoker"
GSM101103,D000000,Control,GSE11906|GSE20257,"small airways, non-smoker 014, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 45|sex: M|ethnic group: white|smoking status: non-smoker"
GSM101104,D000000,Control,GSE11906|GSE20257,"small airways, non-smoker 008, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 36|sex: M|ethnic group: white|smoking status: non-smoker"
GSM101105,D000000,Control,GSE11906|GSE20257,"small airways, non-smoker 015, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 38|sex: M|ethnic group: black|smoking status: non-smoker"
GSM101106,D000000,Control,GSE11906|GSE20257,"small airways, non-smoker 005, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 35|sex: M|ethnic group: black|smoking status: non-smoker"
GSM101107,D000000,Control,GSE20257,"small airways, smoker 002, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 46|sex: M|ethnic group: white|smoking status: smoker, 21 pack-years"
GSM101111,D000000,Control,GSE11906|GSE20257,"small airways, smoker 001, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 37|sex: F|ethnic group: black|smoking status: smoker, 23 pack-years"
GSM101113,D000000,Control,GSE11906|GSE20257,"small airways, smoker 048, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 45|sex: M|ethnic group: black|smoking status: smoker, 28 pack-years"
GSM101114,D000000,Control,GSE11906|GSE20257,"small airways, smoker 041, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 48|sex: M|ethnic group: white|smoking status: smoker, 20 pack-years"
GSM101115,D000000,Control,GSE11906|GSE20257,"small airways, smoker 044, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 50|sex: M|ethnic group: white|smoking status: smoker, 38 pack-years"
GSM101116,D000000,Control,GSE11906|GSE20257,"small airways, smoker 049, RMA and MAS|airway epithelial cells obtained by bronchoscopy and brushing|age: 46|sex: F|ethnic group: black|smoking status: smoker, 23 pack-years"
GSM1012177,D000000,Control,GSE22619,"Healthy individual of twinpair #2|primary mucosal tissue,  colon|twin pair: #2|individual: healthy individual, non-inflamed|tissue: primary mucosal tissue,  colon|mean age: 31.5"
GSM1012178,D003093,"Colitis, Ulcerative",GSE22619,"Diseased individual (ulcerative colitis) of twinpair #2|primary mucosal tissue,  colon|twin pair: #2|individual: diseased individual, inflamed|tissue: primary mucosal tissue,  colon|mean age: 31.5"
GSM1012179,D000000,Control,GSE22619,"Healthy individual of twinpair #3|primary mucosal tissue,  colon|twin pair: #3|individual: healthy individual, non-inflamed|tissue: primary mucosal tissue,  colon|mean age: 31.5"
GSM1012180,D003093,"Colitis, Ulcerative",GSE22619,"Diseased individual (ulcerative colitis) of twinpair #3|primary mucosal tissue,  colon|twin pair: #3|individual: diseased individual, inflamed|tissue: primary mucosal tissue,  colon|mean age: 31.5"
GSM1014798,D000000,Control,GSE41328,"AFX platform, lab 1, matched normal colon tissue, biological rep 1|Sample type N (Normal, matched normal colon tissue)|tissue: Normal, matched normal colon tissue|lab: 1"
GSM1014799,D000000,Control,GSE41328,"AFX platform, lab 1, matched normal colon tissue, biological rep 2|Sample type N (Normal, matched normal colon tissue)|tissue: Normal, matched normal colon tissue|lab: 1"
GSM1014800,D000000,Control,GSE41328,"AFX platform, lab 1, matched normal colon tissue, biological rep 3|Sample type N (Normal, matched normal colon tissue)|tissue: Normal, matched normal colon tissue|lab: 1"
GSM1014801,D000000,Control,GSE41328,"AFX platform, lab 1, matched normal colon tissue, biological rep 4|Sample type N (Normal, matched normal colon tissue)|tissue: Normal, matched normal colon tissue|lab: 1"
GSM1014802,D000000,Control,GSE41328,"AFX platform, lab 1, matched normal colon tissue, biological rep 5|Sample type N (Normal, matched normal colon tissue)|tissue: Normal, matched normal colon tissue|lab: 1"
